event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
381,24,PSV,home, 95 ,Goal, Fábio Silva , Xavi Simons 
382,24,PSV,home, 96 ,Yellow card, Xavi Simons ,
383,24,PSV,home, 97 ,Red card, Mauro Júnior ,
384,25,Juventus,away, 5 ,Goal, Ángel Di María , Nicolò Fagioli 
385,25,Nantes,home, 17 ,Red card, Nicolas Pallois ,
386,25,Juventus,away, 20 ,Penalty, Ángel Di María , Penalty 
387,25,Nantes,home, 24 ,Substitution, Charles Traoré , Pedro Chirivella 
388,25,Nantes,home, 45 ,Substitution, Samuel Moutoussamy , Moussa Sissoko 
389,25,Nantes,home, 45 ,Substitution, Ignatius Ganago , Andy Delort 
390,25,Juventus,away, 64 ,Substitution, Dušan Vlahović , Moise Kean 
391,25,Juventus,away, 65 ,Substitution, Juan Cuadrado , Mattia De Sciglio 
392,25,Nantes,home, 73 ,Substitution, Mostafa Mohamed , Moses Simon 
393,25,Nantes,home, 73 ,Substitution, Evann Guessand , Florent Mollet 
394,25,Juventus,away, 78 ,Goal, Ángel Di María , Dušan Vlahović 
395,25,Nantes,home, 81 ,Yellow card, Charles Traoré ,
396,25,Juventus,away, 82 ,Substitution, Leonardo Bonucci , Danilo 
397,25,Juventus,away, 82 ,Substitution, Leandro Paredes , Ángel Di María 
398,25,Juventus,away, 82 ,Substitution, Samuel Iling-Junior , Filip Kostić 
399,25,Juventus,away, 87 ,Yellow card, Juan Cuadrado ,
400,26,Sevilla,home, 16 ,Substitution, Fernando , Loïc Badé 
401,26,Sevilla,home, 47 ,Goal, Youssef En-Nesyri , Jesus Navas 
402,26,Sevilla,home, 45 ,Substitution, Lucas Ocampos , Bryan Gil 
403,26,Sevilla,home, 50 ,Goal, Lucas Ocampos , Oliver Torres 
404,26,Sevilla,home, 55 ,Goal, Nemanja Gudelj , Lucas Ocampos 
405,26,Sevilla,home, 59 ,Yellow card, Nemanja Gudelj ,
406,26,PSV,away, 62 ,Substitution, Thorgan Hazard , Guus Til 
407,26,PSV,away, 62 ,Substitution, Fábio Silva , Luuk de Jong 
408,26,Sevilla,home, 63 ,Substitution, Suso , Youssef En-Nesyri 
409,26,Sevilla,home, 70 ,Substitution, Erik Lamela , Oliver Torres 
410,26,Sevilla,home, 70 ,Substitution, Gonzalo Montiel , Marcos Acuña 
411,26,PSV,away, 75 ,Substitution, Mauro Júnior , Patrick van Aanholt 
412,26,Sevilla,home, 89 ,Yellow card, Erik Lamela ,
413,26,PSV,away, 90 ,Substitution, Phillipp Mwene , Ismael Saibari 
414,26,PSV,away, 90 ,Substitution, Armando Obispo , André Ramalho 
415,27,Juventus,home, 13 ,Goal, Dušan Vlahović , Federico Chiesa 
416,27,Nantes,away, 46 ,Yellow card, Jean-Charles Castelletto ,
417,27,Juventus,home, 54 ,Yellow card, Federico Chiesa ,
418,27,Nantes,away, 57 ,Yellow card, Mostafa Mohamed ,
419,27,Nantes,away, 60 ,Goal, Ludovic Blas , Mostafa Mohamed 
